id,label
1,0.999999
10,0.000000
100,0.000000
1000,1.000000
10000,0.999999
10001,0.000000
10002,0.000000
10003,1.000000
10004,0.515835
10005,0.000000
10006,0.000000
10007,0.000000
10008,0.000000
10009,0.000000
1001,0.000000
10010,0.999314
10011,0.975452
10012,0.000000
10013,0.000000
10014,0.000000
10015,0.951476
10016,0.000000
10017,0.000000
10018,0.000000
10019,0.000000
1002,1.000000
10020,0.000000
10021,0.000000
10022,1.000000
10023,1.000000
10024,1.000000
10025,0.998006
10026,1.000000
10027,1.000000
10028,0.000000
10029,0.998797
1003,1.000000
10030,1.000000
10031,0.000000
10032,0.000304
10033,0.000000
10034,0.999915
10035,0.999988
10036,0.999999
10037,0.002541
10038,1.000000
10039,1.000000
1004,1.000000
10040,0.000001
10041,1.000000
10042,0.975676
10043,0.999995
10044,0.000000
10045,0.767762
10046,0.967447
10047,0.999754
10048,1.000000
10049,0.000000
1005,0.000000
10050,0.000001
10051,0.000000
10052,0.000000
10053,0.876365
10054,0.000000
10055,0.000000
10056,1.000000
10057,0.000000
10058,0.999936
10059,0.004453
1006,1.000000
10060,0.998290
10061,0.000000
10062,0.000000
10063,0.987417
10064,0.941716
10065,0.000000
10066,0.000000
10067,0.000000
10068,0.000000
10069,0.000000
1007,1.000000
10070,1.000000
10071,0.000000
10072,0.000000
10073,0.999051
10074,0.000000
10075,0.000000
10076,0.000000
10077,0.000000
10078,1.000000
10079,0.000000
1008,0.000000
10080,1.000000
10081,0.000001
10082,0.000000
10083,0.000000
10084,1.000000
10085,1.000000
10086,1.000000
10087,1.000000
10088,0.000000
10089,0.000000
1009,1.000000
10090,0.000000
10091,0.000000
10092,0.992286
10093,0.000033
10094,1.000000
10095,0.000000
10096,1.000000
10097,0.999999
10098,0.999993
10099,0.000000
101,0.000000
1010,0.999707
10100,0.997834
10101,0.999912
10102,0.000048
10103,0.000000
10104,1.000000
10105,0.999769
10106,0.000000
10107,0.000000
10108,0.999875
10109,0.000000
1011,0.000000
10110,0.995135
10111,0.000002
10112,0.000000
10113,1.000000
10114,0.000000
10115,0.000000
10116,1.000000
10117,0.000000
10118,0.000000
10119,1.000000
1012,0.998910
10120,0.000000
10121,0.000000
10122,0.000000
10123,0.000000
10124,1.000000
10125,0.000000
10126,0.000000
10127,0.995163
10128,0.000000
10129,0.998484
1013,0.000000
10130,0.000000
10131,1.000000
10132,0.000000
10133,0.000000
10134,0.968848
10135,1.000000
10136,0.999998
10137,0.000000
10138,1.000000
10139,1.000000
1014,1.000000
10140,0.996176
10141,1.000000
10142,1.000000
10143,1.000000
10144,1.000000
10145,0.000000
10146,1.000000
10147,1.000000
10148,0.957493
10149,0.000000
1015,0.000000
10150,0.000452
10151,0.000000
10152,0.000000
10153,0.996113
10154,0.000000
10155,0.999999
10156,0.000000
10157,0.000026
10158,0.000000
10159,1.000000
1016,0.000001
10160,0.000000
10161,0.000000
10162,1.000000
10163,1.000000
10164,0.997048
10165,0.647086
10166,1.000000
10167,0.998347
10168,0.995180
10169,0.998393
1017,0.000000
10170,0.000000
10171,0.000000
10172,0.997212
10173,0.000000
10174,0.000000
10175,0.000000
10176,1.000000
10177,1.000000
10178,0.008566
10179,1.000000
1018,0.991695
10180,0.000000
10181,0.999983
10182,0.000000
10183,0.000040
10184,0.000000
10185,0.999895
10186,0.963897
10187,1.000000
10188,0.000005
10189,1.000000
1019,1.000000
10190,1.000000
10191,0.000000
10192,0.677158
10193,0.000000
10194,0.000000
10195,1.000000
10196,0.989157
10197,1.000000
10198,0.000000
10199,0.000000
102,1.000000
1020,0.000000
10200,0.000000
10201,0.000000
10202,1.000000
10203,1.000000
10204,0.000000
10205,0.000000
10206,0.000000
10207,1.000000
10208,1.000000
10209,1.000000
1021,0.000170
10210,0.000000
10211,0.000000
10212,0.000000
10213,0.998222
10214,1.000000
10215,0.000000
10216,0.994583
10217,0.740343
10218,0.000000
10219,0.033745
1022,0.000000
10220,1.000000
10221,1.000000
10222,0.916616
10223,0.000000
10224,0.000000
10225,0.002884
10226,0.000000
10227,0.000000
10228,0.000000
10229,0.000000
1023,0.000000
10230,0.242130
10231,1.000000
10232,1.000000
10233,0.999811
10234,0.000000
10235,0.000000
10236,0.000000
10237,0.000000
10238,1.000000
10239,0.000000
1024,0.000000
10240,0.000000
10241,0.984509
10242,1.000000
10243,1.000000
10244,1.000000
10245,1.000000
10246,0.999172
10247,1.000000
10248,0.000005
10249,0.999978
1025,0.000000
10250,0.000000
10251,1.000000
10252,0.000000
10253,1.000000
10254,1.000000
10255,0.999993
10256,1.000000
10257,0.000000
10258,1.000000
10259,0.999871
1026,0.000026
10260,0.000000
10261,1.000000
10262,0.999756
10263,0.995187
10264,0.000000
10265,0.000000
10266,0.000000
10267,0.000000
10268,1.000000
10269,0.936438
1027,0.000000
10270,0.000000
10271,1.000000
10272,0.000000
10273,0.000000
10274,0.000000
10275,0.999999
10276,0.000000
10277,0.000141
10278,0.029469
10279,0.999998
1028,0.000000
10280,1.000000
10281,1.000000
10282,0.992523
10283,0.999997
10284,1.000000
10285,0.999997
10286,0.000000
10287,0.000341
10288,0.000000
10289,0.000000
1029,0.000000
10290,1.000000
10291,1.000000
10292,0.000000
10293,1.000000
10294,0.000000
10295,0.000000
10296,0.000000
10297,1.000000
10298,1.000000
10299,0.000853
103,0.000000
1030,0.000000
10300,1.000000
10301,0.000000
10302,0.999999
10303,0.000000
10304,0.997146
10305,1.000000
10306,1.000000
10307,0.014979
10308,0.000000
10309,0.000000
1031,0.000000
10310,0.347445
10311,0.000000
10312,0.000000
10313,0.986677
10314,0.000000
10315,1.000000
