id,label
9297,0.628813
1196,0.440592
1425,0.428328
1755,0.630801
11041,0.639847
1476,0.642226
4906,0.336554
8299,0.359930
9589,0.572359
11837,0.444560
10530,0.341415
9373,0.529868
6357,0.426446
11805,0.623704
3959,0.364696
10328,0.358098
7615,0.552787
3318,0.335296
1481,0.638151
7735,0.601712
1351,0.569663
11397,0.418359
8414,0.679635
2013,0.467647
11019,0.595068
926,0.343100
5963,0.311047
8282,0.375630
7414,0.398111
1759,0.591183
3104,0.438994
4631,0.604817
121,0.391093
10928,0.344955
2313,0.575908
12077,0.347748
1211,0.594900
11310,0.648046
4128,0.318334
5983,0.525548
356,0.598781
7246,0.642266
4083,0.604532
7455,0.630631
12391,0.600999
7671,0.578955
11121,0.570121
10990,0.664461
9251,0.324534
2158,0.636262
4079,0.338642
4027,0.625655
9542,0.362454
7229,0.326357
11012,0.593344
12270,0.557573
10882,0.605446
9890,0.604053
3544,0.594649
118,0.569358
6470,0.348668
8485,0.564686
2560,0.588030
8513,0.490622
11146,0.636026
309,0.414184
7402,0.366630
4029,0.390207
10964,0.318400
3500,0.596026
4215,0.659411
8897,0.585354
5752,0.639018
2990,0.635613
10265,0.432824
2586,0.354586
1917,0.659486
6677,0.364475
6912,0.639715
7516,0.604884
8858,0.416227
2786,0.572475
2816,0.332189
10675,0.461176
10403,0.680524
112,0.611848
594,0.629022
2272,0.621639
5745,0.334243
10889,0.415222
7814,0.643635
2530,0.340496
12459,0.632173
810,0.542863
4693,0.633004
1648,0.438787
8157,0.643945
8695,0.563198
1036,0.599781
9815,0.614903
7617,0.322781
2797,0.345941
9600,0.535445
4505,0.316392
7692,0.337062
1498,0.622710
6574,0.590640
9613,0.640203
11081,0.655016
10507,0.445507
6249,0.636524
12051,0.569075
214,0.619707
9233,0.625836
6660,0.422667
8944,0.572145
6946,0.462848
5201,0.377659
10770,0.572093
11583,0.367313
5361,0.603263
2980,0.329263
10471,0.399952
10830,0.332727
6228,0.332215
8175,0.475574
6254,0.609280
2956,0.618279
1852,0.408764
2050,0.598552
7454,0.647083
3206,0.608655
2749,0.425760
392,0.503858
5106,0.387029
12107,0.574206
2531,0.369583
6096,0.346334
10246,0.617494
5037,0.336554
4503,0.367329
11217,0.557797
4635,0.652720
11693,0.419778
4926,0.593696
10289,0.336774
7371,0.626032
6886,0.617574
2525,0.487077
6286,0.371757
568,0.601472
8749,0.348428
5959,0.544723
11581,0.492311
11642,0.610413
7071,0.410038
10504,0.615311
8630,0.564559
10003,0.613645
5133,0.489651
1033,0.533651
7905,0.328638
12447,0.501480
4822,0.627856
9780,0.369647
9481,0.605473
8056,0.582548
435,0.630631
9647,0.665424
11452,0.617294
6688,0.546622
10277,0.543398
270,0.631381
2604,0.423784
11328,0.343917
2787,0.648065
1903,0.653155
11467,0.333331
5518,0.374888
12115,0.404346
3595,0.659167
12088,0.585285
6689,0.348308
8988,0.393563
6952,0.568650
1604,0.330136
4999,0.622953
5092,0.588447
3324,0.382353
5582,0.371778
5718,0.547179
9072,0.606320
6145,0.413179
7494,0.676410
3482,0.619627
5933,0.359099
2195,0.567743
9034,0.336106
4424,0.589185
3604,0.424785
9255,0.587217
4783,0.562706
8183,0.620379
2651,0.576571
12499,0.668885
10186,0.505479
3975,0.434295
2361,0.540091
4117,0.437445
3349,0.459192
10798,0.643802
696,0.360107
5908,0.640271
6151,0.618919
1789,0.579012
7158,0.603103
2046,0.591058
11469,0.652265
1715,0.561951
1718,0.310972
8263,0.626589
3280,0.313439
2645,0.592095
4874,0.591034
5484,0.591959
2643,0.611491
8941,0.367737
6710,0.648011
11960,0.594102
10189,0.606358
10236,0.343859
6408,0.490755
4242,0.635303
6483,0.421855
911,0.390549
6209,0.586079
7786,0.405612
1650,0.562270
3747,0.495265
7785,0.627364
10238,0.537858
7534,0.656807
5177,0.607969
5598,0.417432
6573,0.603390
10781,0.362494
6786,0.615353
11486,0.633810
12268,0.612588
1431,0.582965
3253,0.580262
11650,0.627285
7011,0.403113
3170,0.580366
393,0.454373
11957,0.574360
320,0.390282
10086,0.656127
8674,0.468036
6059,0.323818
10243,0.591677
8602,0.338121
8569,0.618946
4836,0.635452
1376,0.609872
7567,0.636313
5945,0.378148
6533,0.339553
3209,0.644711
7924,0.361902
1277,0.324592
2658,0.383628
1663,0.467771
7580,0.655923
11679,0.412952
4805,0.648358
773,0.599714
1875,0.368206
2798,0.577000
10979,0.542854
10000,0.574134
6775,0.593614
4352,0.649495
3660,0.511204
8278,0.567136
8636,0.614082
4058,0.465202
12312,0.332233
3478,0.612493
8094,0.332074
8346,0.637281
9626,0.502946
461,0.534643
1901,0.403503
6213,0.451826
9204,0.611616
2637,0.425639
8906,0.381570
2255,0.609179
4017,0.488836
3196,0.588695
7326,0.631104
3063,0.366165
8407,0.602760
9522,0.321392
3554,0.630325
11677,0.638087
11068,0.413424
1612,0.660991
4714,0.514123
10845,0.552531
8373,0.344374
9733,0.400322
8759,0.589544
11143,0.672314
156,0.315540
4068,0.351996
8697,0.594610
7257,0.570262
196,0.562658
12408,0.340502
1122,0.637707
2577,0.618852
10474,0.563355
12076,0.637412
4797,0.628498
679,0.558625
2987,0.456069
10058,0.535956
9774,0.602565
4729,0.640561
7978,0.398458
351,0.393998
3127,0.318136
933,0.333946
5036,0.573637
8553,0.318820
9802,0.322993
3757,0.588958
11788,0.333027
379,0.599010
10790,0.548812
300,0.368024
5410,0.584368
10857,0.610942
11739,0.419416
1959,0.346917
8556,0.580422
9511,0.325611
8008,0.617285
5027,0.304641
7611,0.336858
4229,0.600648
7340,0.349590
1526,0.606032
1303,0.449438
6473,0.652165
7080,0.550499
4487,0.410329
1464,0.379187
1841,0.610899
10152,0.362063
11003,0.463971
605,0.322187
12075,0.643112
9205,0.344860
504,0.325254
3355,0.584382
4063,0.558064
8487,0.322215
8362,0.633377
4433,0.340378
65,0.611619
10870,0.483076
8905,0.396423
7855,0.367029
1700,0.314183
9381,0.660848
1441,0.328314
11935,0.592851
891,0.569577
11779,0.340115
12380,0.624671
2423,0.379838
7006,0.630207
7114,0.606312
6641,0.561558
4298,0.369235
